Date,IV,RV_20
2021-01-01,0.2567942582297237,0.34606594851970535
2021-01-04,0.619738455746246,0.367695770898838
2021-01-05,0.6426292118619285,0.3666585162050444
2021-01-06,0.65695446115367,0.3713395073808503
2021-01-07,0.675802980711788,0.3722123962744128
2021-01-08,0.2661490068062286,0.3733685525855757
2021-01-11,0.6088483749403981,0.373317984497712
2021-01-12,0.6238255121676124,0.372408258940758
2021-01-13,0.6422332108029778,0.37152816686816825
2021-01-14,0.6505268922330277,0.3731485516577313
2021-01-15,0.6553653428856816,0.3895550375063171
2021-01-18,0.5959325978705001,0.3870681196015296
2021-01-19,0.6122741691505809,0.3815148081173295
2021-01-20,0.6242666880287888,0.3825755054231618
2021-01-21,0.6311010778970733,0.3875192778673515
2021-01-22,0.5270470559154836,0.3748586247928792
2021-01-25,0.3144038417588183,0.3751087717921617
2021-01-27,0.3416173924655963,0.3835623821448606
2021-01-28,0.3185476317342337,0.38358049300614455
2021-01-29,0.3224351921265,0.42038191465106955
2021-02-01,0.6156263491895427,0.3160884208646084
2021-02-02,0.6558741762880603,0.29090419161698494
2021-02-03,0.6278823950396892,0.30145705265472733
2021-02-04,0.6043049255740809,0.30074137446781646
2021-02-05,0.4946013948023016,0.304601075828876
2021-02-08,0.5123028499174264,0.30288744293602116
2021-02-09,0.5262977224914854,0.30847161253948246
2021-02-10,0.5201373258153763,0.30737007382363873
2021-02-11,0.5299270808846435,0.3104729150774246
2021-02-12,0.5552513294248872,0.31007466548187246
2021-02-15,0.5472683500514831,0.29018562433936057
2021-02-16,0.5484917690085754,0.2954917549195117
2021-02-17,0.5502202319354293,0.297489930689915
2021-02-18,0.5497951205462652,0.2975452951134707
2021-02-19,0.5673623510869873,0.2943026025659389
2021-02-22,0.2932152587061922,0.29480621332150814
2021-02-23,0.2926304672571527,0.3090340166078895
2021-02-24,0.2811120671520087,0.2808834196320781
2021-02-25,0.2740600237998754,0.28270229143205194
2021-02-26,0.3473192089841255,0.23067915219771765
2021-03-01,0.5730642571740264,0.23317348143890718
2021-03-02,0.5849631778137219,0.2400965140391019
2021-03-03,0.6013434333032132,0.25432588216656876
2021-03-04,0.6181784503809984,0.24891836024998545
2021-03-05,0.3385804274771046,0.24796075906581416
2021-03-08,0.3504034573070214,0.2489322927008745
2021-03-09,0.6000463394374196,0.24460073868455487
2021-03-10,0.6095693907635833,0.3071730290168604
2021-03-12,0.6348311721652076,0.3237081208439472
2021-03-15,0.5977354810687276,0.32439125015579456
2021-03-16,0.6174699946385416,0.3224667254804959
2021-03-17,0.6488335496626308,0.3285585866813894
2021-03-18,0.6746071170270862,0.32643742304683787
2021-03-19,0.673166540598324,0.33356761128845275
2021-03-22,0.6977566203137872,0.3284714091117943
2021-03-23,0.6727211550661251,0.32856184924675497
2021-03-24,0.6811797831225483,0.31888404179183993
2021-03-25,0.5315102736893002,0.33447299875384934
2021-03-26,0.7055690730556726,0.33280538679376565
2021-03-30,0.2908161001884046,0.3423654949961333
2021-03-31,0.2993358670888144,0.33875187422537034
2021-04-01,0.2654528366571558,0.3343371589647378
2021-04-05,0.6637037142349888,0.3147822984616468
2021-04-06,0.6720646574523015,0.314224283207283
2021-04-07,0.7157298758095343,0.30981593165083626
2021-04-08,0.7426203187643272,0.3100549961627132
2021-04-09,0.7310252804876713,0.3092745549927817
2021-04-12,0.6526495294986805,0.2513083625628029
2021-04-13,0.7032456572418476,0.2275139166593519
2021-04-15,0.7045248102591343,0.2641834449049602
2021-04-16,0.608296323859482,0.26823346052464764
2021-04-19,0.6847031366632165,0.2551522013335853
2021-04-20,0.7031240589558869,0.2576111151814641
2021-04-22,0.6812886800441447,0.2798663626735182
2021-04-23,0.6992948161766304,0.2818881667550594
2021-04-26,0.3629194350812298,0.2766306731548897
2021-04-27,0.3468318925912899,0.272036864521124
2021-04-28,0.3247853792536042,0.25421058172771005
2021-04-29,0.3250350443723096,0.2542523397332372
2021-04-30,0.3433415826265561,0.23711776120721176
2021-05-03,0.5948061515417506,0.23537736452931335
2021-05-04,0.6132312071577646,0.23442863072653244
2021-05-05,0.6032257587667487,0.2292929246745445
2021-05-06,0.6133708265202491,0.23201588696584566
2021-05-07,0.6213836501365297,0.2323692678473967
2021-05-10,0.569397503146025,0.23375775510280103
2021-05-11,0.581277359960811,0.2337420676650822
2021-05-12,0.5974564653653343,0.2316893497620552
2021-05-14,0.6259613604887462,0.22975403803219716
2021-05-17,0.5803898588510554,0.18279736689852796
2021-05-18,0.5958342634217766,0.1787084950493847
2021-05-19,0.6027459631864459,0.1786772918625326
2021-05-20,0.6074872311347219,0.17942800784778212
2021-05-21,0.6464847290464166,0.12057508366141405
2021-05-24,0.2770114754096222,0.11993100326652287
2021-05-25,0.2800596202595542,0.11715124128988375
2021-05-26,0.2871874652306328,0.11843121396711055
2021-05-27,0.2883814560043147,0.11379148734939486
2021-05-28,0.2774495438942154,0.1260304495485398
2021-05-31,0.6129818766768023,0.11994354275626609
2021-06-01,0.6372427850985535,0.12355968312141531
2021-06-02,0.6253849786789694,0.12585820731288747
2021-06-03,0.6480615032998713,0.12314448261231203
2021-06-04,0.6722023793809113,0.11853728732385398
2021-06-07,0.5967114888587244,0.12442024608526438
2021-06-08,0.5987124134808205,0.1246394310233572
2021-06-09,0.6014506104844498,0.12273341893580188
2021-06-10,0.6191884511681878,0.1280816788584245
2021-06-11,0.6276704529373875,0.12941890013661464
2021-06-14,0.5931312168137824,0.12968176091265932
2021-06-15,0.6083817586159769,0.13480915012510591
2021-06-16,0.6126774373571018,0.13253120483176795
2021-06-17,0.6117896034333732,0.12837378356197934
2021-06-18,0.6234718488047739,0.12920739958895808
2021-06-21,0.5688147419973144,0.14217296168389346
2021-06-22,0.574733754735138,0.15698790476772406
2021-06-23,0.5841337296513796,0.1583110601041666
2021-06-24,0.5963791810403274,0.16035936663634448
2021-06-25,0.6194548293412435,0.15110189686333036
2021-06-28,0.1908725310459365,0.15189360373634936
2021-06-29,0.1884697139877014,0.1502156611181863
2021-06-30,0.1900006666400552,0.1491393424283602
2021-07-01,0.1846044476153004,0.14927104201786068
2021-07-02,0.1756599575499142,0.14927202688409438
2021-07-05,0.5651958400149408,0.1522217748536552
2021-07-06,0.5682342335834676,0.1688325066795959
2021-07-07,0.5757501190536531,0.16882993759008347
2021-07-08,0.4890304471372377,0.16137354770251724
2021-07-09,0.6081365814959352,0.16154446828003138
2021-07-12,0.5516417189328287,0.1610353377234583
2021-07-13,0.3977746882230686,0.15549743497659632
2021-07-14,0.4046008257384735,0.15603311100101075
2021-07-15,0.5769425686057393,0.15590253665698292
2021-07-16,0.5270209901095602,0.15531026085566052
2021-07-19,0.547392142907313,0.1416972657841863
2021-07-20,0.5630613033641565,0.12824911300784855
2021-07-22,0.5797088238566726,0.1358895495562416
2021-07-23,0.1720001172530109,0.1312531619381882
2021-07-26,0.1846555597073451,0.14360680562753758
2021-07-27,0.1934167551241027,0.14331708621293637
2021-07-28,0.19840127243125,0.14076818741935354
